0	Unclassified
4071	k__Bacteria
173	k__Bacteria	p__Bacillota
209	k__Bacteria	p__Bacillota	c__Bacilli
1184	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales
3803	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae
99	k__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Ectobacillus
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	s__Caldimonas_thermodepolymerans
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	s__Caldimonas_tepidiphila
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	s__Schlegelella_aquatica
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	s__Caldimonas_mangrovi
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Caldimonas	s__Schlegelella_koreensis
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Azohydromonas
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Azohydromonas	s__uncultured_Azohydromonas_sp.
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Azohydromonas	s__Azohydromonas_aeria
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Azohydromonas	s__Azohydromonas_lata
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Azohydromonas	s__Azohydromonas_caseinilytica
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Azohydromonas	s__Azohydromonas_sediminis
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Leptothrix
9	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Leptothrix	s__Leptothrix_cholodnii
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Rubrivivax
6	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Rubrivivax	s__Rubrivivax_sp._JA1026
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Rubrivivax	s__Rubrivivax_sp.
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Rubrivivax	s__Rubrivivax_sp._SCN_70-15
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Rubrivivax	s__Rubrivivax_sp._A210
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Methylibium
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Methylibium	s__Methylibium_sp._NZG
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Methylibium	s__Methylibium_sp.
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Methylibium	s__Methylibium_petroleiphilum
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Piscinibacter
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Piscinibacter	s__Piscinibacter_sp._XHJ-5
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Piscinibacter	s__Piscinibacter_sp.
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Piscinibacter	s__uncultured_Piscinibacter_sp.
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Piscinibacter	s__Piscinibacter_lacus
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Ideonella
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Ideonella	s__Ideonella_sp._B508-1
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Ideonella	s__Ideonella_sp._A_288
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Ideonella	s__Ideonella_sp.
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Ideonella	s__Ideonella_azotifigens
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Ideonella	s__Ideonella_benzenivorans
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Aquincola
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Aquincola	s__Aquincola_tertiaricarbonis
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Sphaerotilus
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Sphaerotilus	s__Sphaerotilus_natans
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Inhella
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Inhella	s__Inhella_inkyongensis
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Inhella	s__Inhella_crocodyli
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Inhella	s__Inhella_proteolytica
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Roseateles
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Roseateles	s__Roseateles_aquatilis
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Scleromatobacter
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Scleromatobacter	s__Scleromatobacter_humisilvae
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella_seckii
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella_megalosphaeroides
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Mesosutterella
544	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium
76	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_14
70	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_62_58
69	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_SCGC_AG-212-J23
34	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_62_13
19	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_64_14
12	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RBG_16_66_20
11	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_66_14
11	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_19
10	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_67_12
9	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_SG8_39
9	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_62_17
9	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_13_1_20CM_3_63_8
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_12
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_65_24
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_68_20
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_GR16-43
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__beta_proteobacterium_AAP99
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_SG8_40
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_66_14
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_19
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_67_26
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_HGW-Betaproteobacteria-21
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_SCN2
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RBG_16_64_18
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_62_13b
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_63_13
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_64_23
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_67_28
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_ADurb.Bin341
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_HGW-Betaproteobacteria-12
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__beta_proteobacterium_AAP51
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_SG8_41
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RBG_16_56_24
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_RIFCSPLOWO2_02_FULL_63_19
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_13_1_40CM_4_64_4
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_HGW-Betaproteobacteria-10
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_HGW-Betaproteobacteria-11
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_HGW-Betaproteobacteria-14
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_HGW-Betaproteobacteria-22
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	s__Betaproteobacteria_bacterium_HGW-Betaproteobacteria-6
10	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae
44	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas
31	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp.
10	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp._Nm166
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp._Nm33
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp._HPC101
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp._Nm132
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp._Nm58
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp._JL21
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_sp._Nm51
15	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_communis
9	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_nitrosa
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_supralitoralis
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_oligotropha
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_halophila
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_mobilis
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_marina
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_ureae
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_eutropha
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas_aestuarii
12	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira
8	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_sp._56-18
6	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_sp._NRS527
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_sp._Nsp14
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_sp._NpAV
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_sp._Nsp1
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_sp._Nsp2
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_sp._Nl5
7	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_multiformis
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosospira	s__Nitrosospira_briensis
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosovibrio
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosovibrio	s__Nitrosovibrio_sp._Nv17
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosovibrio	s__Nitrosovibrio_sp._Nv6
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosovibrio	s__Nitrosovibrio_sp._Nv4
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	g__Nitrosovibrio	s__Nitrosovibrio_tenuis
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Nitrosomonadaceae	s__Nitrosomonadaceae_bacterium
8	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylobacillus
10	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylobacillus	s__Methylobacillus_sp._MM3
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylobacillus	s__Methylobacillus_rhizosphaerae
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylotenera
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylotenera	s__Methylotenera_sp.
6	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	s__Methylophilaceae_bacterium
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Novimethylophilus
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Novimethylophilus	s__Novimethylophilus_kurashikiensis
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylovorus
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylovorus	s__Methylovorus_sp._MM2
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylophilus
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methylophilus	s__Methylophilus_rhizosphaerae
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Candidatus_Methylopumilus
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Candidatus_Methylopumilus	s__Candidatus_Methylopumilus_universalis
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methyloradius
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Methylophilaceae	g__Methyloradius	s__Methyloradius_palustris
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga	s__Candidatus_Nitrotoga_sp._1052
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga	s__Candidatus_Nitrotoga_sp._LAW
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga	s__Candidatus_Nitrotoga_sp._AM1P
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga	s__Candidatus_Nitrotoga_sp._HW29
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga	s__Candidatus_Nitrotoga_sp._M5
5	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga	s__Candidatus_Nitrotoga_arctica
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Candidatus_Nitrotoga	s__Candidatus_Nitrotoga_fabula
6	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	s__Gallionellaceae_bacterium
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Sideroxydans
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Sideroxydans	s__Sideroxydans_sp._CL21
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Ferriphaselus
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Ferriphaselus	s__Ferriphaselus_sp._R-1
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Gallionella
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Gallionella	s__Candidatus_Gallionella_acididurans
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Gallionellaceae	g__Gallionella	s__Gallionella_sp.
6	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_GWA2_55_18
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Methylophilales_bacterium_RIFCSPHIGHO2_02_FULL_57_10
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_CG17_big_fil_post_rev_8_21_14_2_50_54_146
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Nitrosomonadales_bacterium_SCN_54-20
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_RBG_16_57_15
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_RIFCSPHIGHO2_02_FULL_57_16
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_RIFCSPLOWO2_02_FULL_57_47
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Nitrosomonadales_bacterium
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_GWA2_59_43
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_GWA2_60_142
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_RIFCSPLOWO2_02_60_31
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_RIFOXYB12_FULL_54_9
1	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	s__Gallionellales_bacterium_CG_4_9_14_0_8_um_filter_55_61
0	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuriferula
4	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuriferula	s__Sulfuriferula_multivorans
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuriferula	s__Sulfuriferula_plumbiphila
3	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuriferula	s__Sulfuriferula_sp._AH1
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuriferula	s__Sulfuriferula_thiophila
2	k__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfuriferula	s__Sulfuriferula_nivalis
